Date,MealPeriod,RevenueCenterName,DayOfWeek,Month,Year,CheckTotal,is_zero,IslamicPeriod,IsRamadan,IsEid,IsPreRamadan,IsPostRamadan,IsLast10Ramadan,IsDSF,IsSummerEvent,IsNationalDay,IsNewYear,IsMarathon,IsGITEX,IsAirshow,IsFoodFestival,IsPreEvent,IsPostEvent,TourismIntensity,RevenueImpact
2023-01-01,Breakfast,RevenueCenter_1,6,1,2023,1499.4,0,New-Year-Celebrations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1
2023-01-01,Dinner,RevenueCenter_1,6,1,2023,4374.5,0,New-Year-Celebrations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1
2023-01-01,Lunch,RevenueCenter_1,6,1,2023,1260.0,0,New-Year-Celebrations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1
2023-01-02,Breakfast,RevenueCenter_1,0,1,2023,771.0,0,Post-New-Year-Celebrations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2023-01-02,Dinner,RevenueCenter_1,0,1,2023,3460.0,0,Post-New-Year-Celebrations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2023-01-02,Lunch,RevenueCenter_1,0,1,2023,1042.0,0,Post-New-Year-Celebrations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2023-01-03,Breakfast,RevenueCenter_1,1,1,2023,1302.4,0,Post-New-Year-Celebrations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2023-01-03,Dinner,RevenueCenter_1,1,1,2023,2735.9,0,Post-New-Year-Celebrations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2023-01-03,Lunch,RevenueCenter_1,1,1,2023,826.0,0,Post-New-Year-Celebrations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2023-01-04,Breakfast,RevenueCenter_1,2,1,2023,1737.0,0,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023-01-04,Dinner,RevenueCenter_1,2,1,2023,3829.0,0,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023-01-04,Lunch,RevenueCenter_1,2,1,2023,712.0,0,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023-01-05,Breakfast,RevenueCenter_1,3,1,2023,653.0,0,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023-01-05,Dinner,RevenueCenter_1,3,1,2023,3868.0,0,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023-01-05,Lunch,RevenueCenter_1,3,1,2023,1162.0,0,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023-01-06,Breakfast,RevenueCenter_1,4,1,2023,1204.4,0,Pre-Dubai-Marathon,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
2023-01-06,Dinner,RevenueCenter_1,4,1,2023,3124.5,0,Pre-Dubai-Marathon,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
2023-01-06,Lunch,RevenueCenter_1,4,1,2023,1285.0,0,Pre-Dubai-Marathon,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
2023-01-07,Breakfast,RevenueCenter_1,5,1,2023,1172.0,0,Pre-Dubai-Marathon,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
2023-01-07,Dinner,RevenueCenter_1,5,1,2023,1967.5,0,Pre-Dubai-Marathon,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
2023-01-07,Lunch,RevenueCenter_1,5,1,2023,1111.0,0,Pre-Dubai-Marathon,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
2023-01-08,Breakfast,RevenueCenter_1,6,1,2023,1139.0,0,Dubai-Marathon,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2023-01-08,Dinner,RevenueCenter_1,6,1,2023,2210.9,0,Dubai-Marathon,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2023-01-08,Lunch,RevenueCenter_1,6,1,2023,543.0,0,Dubai-Marathon,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2023-01-09,Breakfast,RevenueCenter_1,0,1,2023,300.0,0,Post-Dubai-Marathon,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
2023-01-09,Dinner,RevenueCenter_1,0,1,2023,2414.0,0,Post-Dubai-Marathon,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
2023-01-09,Lunch,RevenueCenter_1,0,1,2023,232.0,0,Post-Dubai-Marathon,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
2023-01-10,Breakfast,RevenueCenter_1,1,1,2023,740.0,0,Post-Dubai-Marathon,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
2023-01-10,Dinner,RevenueCenter_1,1,1,2023,1632.5,0,Post-Dubai-Marathon,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
2023-01-10,Lunch,RevenueCenter_1,1,1,2023,1139.0,0,Post-Dubai-Marathon,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
2023-01-11,Breakfast,RevenueCenter_1,2,1,2023,485.0,0,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023-01-11,Dinner,RevenueCenter_1,2,1,2023,2458.75,0,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023-01-11,Lunch,RevenueCenter_1,2,1,2023,370.0,0,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023-01-12,Breakfast,RevenueCenter_1,3,1,2023,1208.0,0,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023-01-12,Dinner,RevenueCenter_1,3,1,2023,2038.5,0,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023-01-12,Lunch,RevenueCenter_1,3,1,2023,414.0,0,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023-01-13,Breakfast,RevenueCenter_1,4,1,2023,1278.0,0,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023-01-13,Dinner,RevenueCenter_1,4,1,2023,1326.3,0,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023-01-13,Lunch,RevenueCenter_1,4,1,2023,642.0,0,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023-01-14,Breakfast,RevenueCenter_1,5,1,2023,628.0,0,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
